Law clerks have assisted the Supreme Court Justices in various capacities, since the first one was hired by Justice Horace Gray in 1882.[1]:1 By the traditions and rules that have developed around this procedure today the eight Associate Justices on the Supreme Court of the United States have the opportunity to select four law clerks each term of the court. The Chief Justice is allowed five clerks, but often hires fewer.[1]:195 After retiring from the Court, a justice may continue to hire a law clerk, who may be assigned to provide additional assistance to an active justice, or assist the retired justice when sitting by designation with a lower court.

Contents  [hide] 
1 List of Supreme Court law clerks
2 Notes
3 See also
4 References
5 Additional sources
6 External links
List of Supreme Court law clerks[edit]
The following sortable table[a] lists more than 1,900 law clerks who have served for Supreme Court justices, the years their service began and ended, the law school they attended (with the year they graduated), and any previous clerkships they held.

Seat = Supreme Court Justice Seat[b]
Num = Order that Supreme Court Justice was appointed


Seat	Num	Justice	Law clerk	Started	Finished	Law school (year)	Previous clerkship
CJ	109	John Roberts	Jonathan Ellis	2012	2013	Penn (2010)	Randolph (D.C. Cir.)
CJ	109	John Roberts	Sina Kian	2012	2013	Stanford (2010)	Tatel (D.C. Cir.) / Griffith (D.C. Cir.)
CJ	109	John Roberts	Benjamin Snyder	2012	2013	Harvard (2011)	Sutton (6th Cir.)
CJ	109	John Roberts	Morgan Goodspeed	2013	2014	Harvard (2012)	Kavanaugh (D.C. Cir.)
CJ	109	John Roberts	Michael Huston	2013	2014	Michigan (2011)	Kethledge (6th Cir.)
CJ	109	John Roberts	Judson O. Littleton	2013	2014	Texas (2008)	Randolph (D.C. Cir)
CJ	109	John Roberts	Matthew Shapiro	2013	2014	Yale (2012)	Wilkinson (4th Cir.)
CJ	109	John Roberts	Kathryn Cherry	2014		Yale (2013)	Kavanaugh (D.C. Cir.)
CJ	109	John Roberts	Chris Michel	2014		Yale (2013)	Kavanaugh (D.C. Cir.)
CJ	109	John Roberts	Graham Phillips	2014		Harvard (2013)	Griffith (D.C. Cir.)
CJ	109	John Roberts	Ryan Snyder	2014		Notre Dame (2012)	Kethledge (6th Cir.)
1	45	William Burnham Woods					
1	49	Lucius Q. C. Lamar					
1	54	Howell Edmunds Jackson					
1	56	Rufus Wheeler Peckham	Jesse C. Ball	1895	1904		
1	56	Rufus Wheeler Peckham	John E. Hoover	1904	1905		
1	56	Rufus Wheeler Peckham	S. Edward Widdifield	1904	1909		
1	61	Horace Harmon Lurton					
1	66	James Clark McReynolds	Maurice J. Mahoney	1927	1929		
1	66	James Clark McReynolds	Maurice J. Mahoney	1931	1934		
1	66	James Clark McReynolds	John Frush Knox	1936	1937	Harvard (1936)	none
1	66	James Clark McReynolds	John T. McHale	1937	1938		Van Devanter
1	81	James F. Byrnes	James E. Doyle	1941	1942	Columbia	
1	83	Wiley Blount Rutledge	Victor Brudney	1943		Columbia (1940)	
1	83	Wiley Blount Rutledge	Harry L. Shniderman	1944	1945	Harvard (1941)	
1	83	Wiley Blount Rutledge	Richard F. Wolfson	1946	1947		
1	83	Wiley Blount Rutledge	John Paul Stevens	1947	1948	Northwestern (1947)	none
1	83	Wiley Blount Rutledge	Stanley L. Temko	1947	1948	Columbia (1943)	none
1	83	Wiley Blount Rutledge	Louis H. Pollak	1948	1949	Yale (1948)	none
1	83	Wiley Blount Rutledge	Philip W. Tone	1948	1949	Iowa (1948)	none
1	87	Sherman Minton	Charles D. Kelso	1950	1951	Chicago (1950)	none
1	87	Sherman Minton	Abner J. Mikva	1951	1952	Chicago (1951)	none
1	87	Sherman Minton	William K. Bachelder	1952	1953		
1	87	Sherman Minton	Harry L. Wallace	1952	1953	Harvard (1952)	none
1	90	William Brennan	Clyde A. Szuch	1956	1957	Harvard (1955)	none
1	90	William Brennan	Edward W. Keane	1957	1958	Harvard (1957)	none
1	90	William Brennan	Daniel J. O'Hern	1957	1958	Harvard (1957)	none
1	90	William Brennan	Peter M. Fishbein	1958	1959	Harvard (1958)	none
1	90	William Brennan	Dennis G. Lyons	1958	1960	Harvard (1955)	none
1	90	William Brennan	Jeffrey L. Nagin	1959	1960	Harvard (1959)	none
1	90	William Brennan	Richard S. Arnold	1960	1961	Harvard (1960)	none
1	90	William Brennan	Daniel A. Rezneck	1960	1961	Harvard (1959)	none
1	90	William Brennan	Frank I. Michelman	1961	1962	Harvard (1960)	none
1	90	William Brennan	Robert M. O'Neil	1962	1963	Harvard (1961)	none
1	90	William Brennan	Richard A. Posner	1962	1963	Harvard (1962)	none
1	90	William Brennan	Stephen R. Barnett	1963	1964	Harvard (1962)	Friendly (2d Cir.)
1	90	William Brennan	Stephen J. Friedman	1963	1964	Harvard (1962)	
1	90	William Brennan	S. Paul Posner	1964	1965	Harvard (1964)	none
1	90	William Brennan	Owen M. Fiss	1965	1966	Harvard (1964)	T. Marshall (2d Cir.)
1	90	William Brennan	Peter L. Strauss	1965	1966	Yale (1964)	Bazelon (D.C. Cir.)
1	90	William Brennan	Stephen M. Goodman	1966	1967	Penn (1965)	Bazelon (D.C. Cir.)
1	90	William Brennan	Abraham D. Sofaer	1966	1967	NYU (1965)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Raymond C. Fisher	1967	1968	Stanford (1966)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Joseph N. Onek	1968	1969	Yale (1967)	Bazelon (D.C. Cir.)
1	90	William Brennan	Robert M. Weinberg	1968	1969	Michigan (1968)	none
1	90	William Brennan	Richard M. Cooper	1969	1970	Harvard (1969)	none
1	90	William Brennan	W. Taylor Reveley, III	1969	1970	Virginia (1968)	none
1	90	William Brennan	Loftus E. Becker	1970	1971	Penn (1969)	Bazelon (D.C. Cir.)
1	90	William Brennan	Richard Cotton	1970	1971	Yale (1969)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Michael C. Moran	1970	1971	Detroit (1969)	G. Edwards (6th Cir.)
1	90	William Brennan	C. Taylor Ashworth	1971	1972	Texas (1971)	
1	90	William Brennan	Gerald Goldman	1971	1972	Harvard (1968)	
1	90	William Brennan	Paul R. Hoeber	1971	1972	Berkeley (1970)	Browning (9th Cir.)
1	90	William Brennan	Edward R. Leahy	1972	1973	Boston College (1971)	Aldisert (3d Cir.)
1	90	William Brennan	William J. Maledon	1972	1973	Notre Dame (1972)	none
1	90	William Brennan	Gerald M. Rosberg	1972	1973	Harvard (1971)	Bazelon (D.C. Cir.)
1	90	William Brennan	Geoffrey R. Stone	1972	1973	Chicago (1971)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Thomas M. Jorde	1973	1974	Yale (1972)	Weigel (N.D. Cal.)
1	90	William Brennan	Lawrence B. Pedowitz	1973	1974	NYU (1972)	Friendly (2d Cir.)
1	90	William Brennan	Marsha S. Berzon	1974	1975	Berkeley (1973)	Browning (9th Cir.)
1	90	William Brennan	Steven P. Goldberg	1974	1975	Yale (1973)	Bazelon (D.C. Cir.)
1	90	William Brennan	Richard J. Bronstein	1975	1976	Chicago (1974)	S. Robinson (D.C. Cir.)
1	90	William Brennan	Stanley C. Fickle	1975	1976	Indiana (1974)	Eschbach (N.D. Ind.)
1	90	William Brennan	Barry S. Simon	1975	1976	Harvard (1974)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Alan B. Sternstein	1975	1976	Arizona (1975)	Douglas
1	90	William Brennan	Robert B. Shanks	1976	1977	Virginia (1975)	Tamm (D.C. Cir.)
1	90	William Brennan	William A. Fletcher	1976	1977	Yale (1975)	Weigel (N.D. Cal.)
1	90	William Brennan	Stuart J. Baskin	1976	1977	Stanford (1975)	Mansfield (2d Cir.)
1	90	William Brennan	Gerard E. Lynch	1976	1977	Columbia (1975)	Feinberg (2d Cir.)
1	90	William Brennan	David W. Carpenter	1977	1978	Boston (1975)	Coffin (1st Cir.)
1	90	William Brennan	Carmen D. Legato	1977	1978	Catholic (1976)	
1	90	William Brennan	F. Whitten Peters	1977	1978	Harvard (1976)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Steven A. Reiss	1977	1978	Stanford (1976)	Wisdom (5th Cir.)
1	90	William Brennan	Merrick B. Garland	1978	1979	Harvard (1977)	Friendly (2d Cir.)
1	90	William Brennan	Robert C. Post	1978	1979	Yale (1977)	Bazelon (D.C. Cir.)
1	90	William Brennan	Michael B. Chertoff	1979	1980	Harvard (1978)	Gurfein (2d Cir.)
1	90	William Brennan	Jeffrey J. Rosen	1979	1980	Harvard (1978)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Jerold S. Kayden	1980	1981	Harvard (1979)	Oakes (2d Cir.)
1	90	William Brennan	Michael W. McConnell	1980	1981	Chicago (1979)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Michael Rubin	1980	1981	Georgetown (1977)	Renfrew (N.D. Cal.) Browning (9th Cir.)
1	90	William Brennan	Elliot E. Polebaum	1980	1981	NYU (1977)	Oakes (2d Cir.)
1	90	William Brennan	Mark S. Campisano	1981	1982	Yale (1980)	Feinberg (2d Cir.)
1	90	William Brennan	Clifton S. Elgarten	1981	1982	Cardozo (1979)	L. Pollak (E.D. Pa.)
1	90	William Brennan	Frederick C. Lowinger	1981	1982	Chicago (1980)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Mary L. Mikva	1981	1982	Northwestern (1980)	P. Marshall (N.D. Ill.)
1	90	William Brennan	Perry Dane	1982	1983	Yale (1981)	Bazelon (D.C. Cir.)
1	90	William Brennan	Edward J. Kelly III	1982	1983	Virginia (1981)	Haynsworth (4th Cir.)
1	90	William Brennan	John H. Schapiro	1982	1983	Stanford (1981)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Charles S. Treat	1982	1983	Chicago (1980)	Wisdom (5th Cir.)
1	90	William Brennan	Jeffrey B. Kindler	1983	1984	Harvard (1980)	Bazelon (D.C. Cir.)
1	90	William Brennan	Michael Klausner	1983	1984	Yale (1981)	Bazelon (D.C. Cir.)
1	90	William Brennan	Bruce R. Lerner	1983	1984	Penn (1982)	Mikva (D.C. Cir.)
1	90	William Brennan	John F. Savarese	1983	1984	Harvard (1981)	L. Pollak (E.D. Pa.)
1	90	William Brennan	Charles G. Curtis, Jr.	1984	1985	Chicago (1982)	Bazelon (D.C. Cir.)
1	90	William Brennan	James A. Feldman	1984	1985	Harvard (1983)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Michael D. Rips	1984	1985	GW (1982)	Politz (5th Cir.)
1	90	William Brennan	Donald B. Verrilli	1984	1985	Columbia (1983)	J. S. Wright (D.C. Cir.)
1	90	William Brennan	Marie R. Deveney	1985	1986	Michigan (1984)	H. Edwards (D.C. Cir.)
1	90	William Brennan	Jay M. Fujitani	1985	1986	Berkeley (1984)	Weigel (N.D. Cal.)
1	90	William Brennan	Dean M. Hashimoto	1985	1986	Yale (1984)	Bazelon (D.C. Cir.)
1	90	William Brennan	Larry D. Kramer	1985	1986	Chicago (1984)	Friendly (2d Cir.)
1	90	William Brennan	Jeffrey T. Leeds	1985	1986	Harvard (1983)	none
1	90	William Brennan	Evan H. Caminker	1986	1987	Yale (1986)	W. Norris (9th Cir.)
1	90	William Brennan	Mark E. Haddad	1986	1987	Yale (1985)	L. Pollak (E.D. Pa.)
1	90	William Brennan	Milton C. Regan, Jr.	1986	1987	Georgetown (1985)	R. B. Ginsburg (D.C. Cir.)
1	90	William Brennan	Virginia A. Seitz	1986	1987	Buffalo (1985)	H. Edwards (D.C. Cir.)
1	90	William Brennan	Einer R. Elhauge	1987	1988	Harvard (1986)	W. Norris (9th Cir.)
1	90	William Brennan	Mark H. Epstein	1987	1988	Berkeley (1985)	Weigel (N.D. Cal.) / Panelli (Cal.)
1	90	William Brennan	Joseph R. Guerra	1987	1988	Georgetown (1985)	J. Green (D.D.C.)
1	90	William Brennan	E. Joshua Rosenkranz	1987	1988	Georgetown (1986)	Scalia (D.C. Cir.) / S. Williams (D.C. Cir.)
1	90	William Brennan	Timothy S. Bishop	1988	1989	Northwestern (1985)	Oakes (2d Cir.)
1	90	William Brennan	Lisa Heinzerling	1988	1989	Chicago (1987)	Posner (7th Cir.)
1	90	William Brennan	John M. West	1988	1989	Michigan (1987)	H. Edwards (D.C. Cir.)
1	90	William Brennan	Nory Miller	1989	1990	Columbia (1988)	Mikva (D.C. Cir.)
1	90	William Brennan	Jonathan S. Massey	1989	1990	Harvard (1988)	Mikva (D.C. Cir.)
1	90	William Brennan	James E. Castello	1990	1991	Berkeley (1986)	Mikva (D.C. Cir.)
1	90	William Brennan	Hugh W. Baxter	1991	1992	Stanford (1990)	R. B. Ginsburg (D.C. Cir.)
1	90	William Brennan	Julius Genachowski	1992	1993	Harvard (1991)	Mikva (D.C. Cir.)
1	90	William Brennan	Steven G. Krone (shared with Souter)	1993	1994	Chicago (1992)	Mikva (D.C. Cir.)
1	90	William Brennan	Lawrence A. Kasten (shared with Souter)	1994	1995	GW (1992)	Schroeder (9th Cir.)
1	90	William Brennan	Steven L. Chanenson (shared with Souter)	1995	1996	Chicago (1992)	Kravitch (11th Cir.)
1	105	David Souter	Meir Feder	1990	1991	Harvard (1989)	W. Norris (9th Cir.)
1	105	David Souter	John J. Sullivan	1990	1991	Columbia (1985)	Wisdom (5th Cir.)
1	105	David Souter	Paul E. Salamanca	1990	1991	Boston College (1989)	Souter (1st Cir.)
1	105	David Souter	Peter J. Spiro	1990	1991	Virginia (1987)	S. Williams (D.C. Cir.)
1	105	David Souter	William D. Araiza	1991	1992	Yale (1990)	W. Norris (9th Cir.)
1	105	David Souter	Henk J. Brands	1991	1992	Columbia (1989)	S. Breyer (1st Cir.)
1	105	David Souter	Jonathan E. Nuechterlein	1991	1992	Yale (1990)	S. Williams (D.C. Cir.)
1	105	David Souter	Peter J. Rubin	1991	1992	Harvard	Seitz (3d Cir.)
1	105	David Souter	Robert Brauneis	1992	1993	Harvard (1989)	S. Breyer (1st Cir.)
1	105	David Souter	Steven M. Dunne	1992	1993	Stanford (1990)	S. Williams (D.C. Cir.)
1	105	David Souter	Mark L. Movsesian	1992	1993	Harvard (1988)	H. Winter (4th Cir.)
1	105	David Souter	Peter J. Rubin	1992	1993	Harvard	Souter
1	105	David Souter	Michael S. Barr	1993	1994	Yale (1992)	Leval (S.D.N.Y.)
1	105	David Souter	Julius Genachowski	1993	1994	Harvard (1991)	Brennan
1	105	David Souter	David T. Goldberg	1993	1994	Harvard (1991)	R. B. Ginsburg (D.C. Cir.)
1	105	David Souter	Steven G. Krone (shared with Brennan)	1993	1994	Chicago (1992)	Mikva (D.C. Cir.)
1	105	David Souter	Alison M. Tucher	1993	1994	Stanford (1992)	W. Norris (9th Cir.)
1	105	David Souter	H. Kent Greenfield	1994	1995	Chicago (1992)	L. Campbell (1st Cir.)
1	105	David Souter	Daniel H. Halberstam	1994	1995	Yale (1993)	Wald (D.C. Cir.)
1	105	David Souter	Riyaz A. Kanji	1994	1995	Yale (1991)	B. Fletcher (9th Cir.)
1	105	David Souter	Max I. Stier	1994	1995	Stanford (1992)	Oakes (2d Cir.)
1	105	David Souter	Stuart M. Benjamin	1995	1996	Yale (1991)	Canby (9th Cir.)
1	105	David Souter	Steven L. Chanenson (shared with Brennan)	1995	1996	Chicago (1992)	Kravitch (11th Cir.)
1	105	David Souter	Heather K. Gerken	1995	1996	Michigan (1994)	Reinhardt (9th Cir.)
1	105	David Souter	Craig T. Goldblatt	1995	1996	Chicago (1993)	Cudahy (7th Cir.)
1	105	David Souter	Ernest A. Young	1995	1996	Harvard (1993)	Boudin (1st Cir.)
1	105	David Souter	William M. Hohengarten	1996	1997	Yale (1994)	Newman (2d Cir.)
1	105	David Souter	Ellen D. Katz	1996	1997	Yale (1994)	J. A. W. Rogers (D.C. Cir.)
1	105	David Souter	Gerald F. Leonard	1996	1997	Michigan (1995)	J. D. Phillips (4th Cir.)
1	105	David Souter	Timothy J. Simeone	1996	1997	Chicago (1994)	Wald (D.C. Cir.)
1	105	David Souter	Thomas B. Colby	1997	1998	Harvard (1996)	Calabresi (2d Cir.)
1	105	David Souter	Deborah L. Hamilton	1997	1998	Michigan (1996)	
1	105	David Souter	Mary-Rose Papandrea	1997	1998	Chicago (1995)	D. Ginsburg (D.C. Cir.) / Koeltl (S.D.N.Y.)
1	105	David Souter	Jonathan G. Cedarbaum	1998	1999	Yale (1996)	Tatel (D.C. Cir.)
1	105	David Souter	Nestor M. Davidson	1998	1999	Columbia (1997)	Tatel (D.C. Cir.)
1	105	David Souter	Noah R. Feldman	1998	1999	Yale (1997)	H. Edwards (D.C. Cir.)
1	105	David Souter	Catherine M. Sharkey	1998	1999	Yale (1997)	Calabresi (2d Cir.)
1	105	David Souter	Jay L. Koh	1999	2000	Yale (1998)	Boudin (1st Cir.)
1	105	David Souter	Benjamin L. Liebman	1999	2000	Harvard (1998)	S. Lynch (1st Cir.)
1	105	David Souter	Kermit Roosevelt III	1999	2000	Yale (1997)	S. Williams (D.C. Cir.)
1	105	David Souter	Rebecca L. Tushnet	1999	2000	Yale (1998)	Becker (3d Cir.)
1	105	David Souter	Kevin C. Newsom	2000	2001	Harvard (1997)	O'Scannlain (9th Cir.)
1	105	David Souter	Kenneth A. Bamberger	2000	2001	Harvard (1998)	Kearse (2d Cir.)
1	105	David Souter	Molly S. Van Houweling	2000	2001	Harvard (1998)	Boudin (1st Cir.)
1	105	David Souter	Matthew C. Waxman	2000	2001	Yale (1998)	Flaum (7th Cir.)
1	105	David Souter	Benjamin Gruenstein	2001	2002	Harvard (1999)	S. Williams (D.C. Cir.)
1	105	David Souter	Thomas H. Lee	2001	2002	Harvard (2000)	Boudin (1st Cir.)
1	105	David Souter	Ann M. Lipton	2001	2002	Harvard (2000)	Becker (3d Cir.)
1	105	David Souter	Monica W. Rothbaum	2001	2002	NYU (1999)	H. Edwards (D.C. Cir.)
1	105	David Souter	Mark C. Fleming	2002	2003	Harvard (1997)	Boudin (1st Cir.)
1	105	David Souter	Jesse M. Furman	2002	2003	Yale (1998)	Cabranes (2d Cir.)
1	105	David Souter	Derek T. Ho	2002	2003	Harvard (2001)	Boudin (1st Cir.)
1	105	David Souter	Sarah L. Levine	2002	2003	Yale (2000)	H. Edwards (D.C. Cir.)
1	105	David Souter	Julian D. Mortenson	2003	2004	Stanford (2002)	Wilkinson (4th Cir.)
1	105	David Souter	Samuel J. Rascoff	2003	2004	Yale (2001)	Leval (2d Cir.)
1	105	David Souter	Jeannie C. Suk	2003	2004	Harvard (2002)	H. Edwards (D.C. Cir.)
1	105	David Souter	Gregory G. Rapawy	2003	2004	Harvard (2001)	S. Lynch (1st Cir.)
1	105	David Souter	Catherine M.A. Carroll	2004	2005	Michigan (2002)	H. Edwards (D.C. Cir.)
1	105	David Souter	Matthew S. Hellman	2004	2005	Harvard (2002)	Boudin (1st Cir.)
1	105	David Souter	Christine B. Van Aken	2004	2005	NYU (2002)	Leval (2d Cir.)
1	105	David Souter	Daniel S. Volchok	2004	2005	Harvard (2003)	Tatel (D.C. Cir.)
1	105	David Souter	Jeanne C. Fromer	2005	2006	Harvard (2002)	Sack (2d Cir.)
1	105	David Souter	Meaghan McLaine	2005	2006	Harvard (2004)	Garland (D.C. Cir.)
1	105	David Souter	Jon D. Michaels	2005	2006	Yale (2003)	Calabresi (2d Cir.)
1	105	David Souter	Allison Orr (Larsen)	2005	2006	Virginia (2004)	Wilkinson (4th Cir.)
1	105	David Souter	Boris Bershteyn	2006	2007	Yale (2004)	Cabranes (2d Cir.)
1	105	David Souter	David S. Han	2006	2007	Harvard (2005)	Boudin (1st Cir.)
1	105	David Souter	Bryan W. Leach	2006	2007	Yale (2005)	Cabranes (2d Cir.)
1	105	David Souter	Daniel B. Tenny	2006	2007	Michigan (2005)	Tatel (D.C. Cir.)
1	105	David Souter	Bert I. Huang	2007	2008	Harvard (2003)	Boudin (1st Cir.)
1	105	David Souter	Leslie Kendrick	2007	2008	Virginia (2006)	Wilkinson (4th Cir.)
1	105	David Souter	Michael J. Mongan	2007	2008	Stanford (2006)	Garland (D.C. Cir.)
1	105	David Souter	Micah W.J. Smith	2007	2008	Harvard (2006)	Calabresi (2d Cir.)
1	105	David Souter	Erin Delaney	2008	2009	NYU (2007)	Calabresi (2d Cir.)
1	105	David Souter	Michael Gerber	2008	2009	Yale (2005)	Leval (2d Cir.)
1	105	David Souter	Warren D. Postman	2008	2009	Harvard (2007)	W. Fletcher (9th Cir.)
1	105	David Souter	Noah G. Purcell	2008	2009	Harvard (2007)	Tatel (D.C. Cir.)
1	105	David Souter	Thomas G. Pulham (shared with Breyer)	2009	2010	Yale (2004)	Katzmann (2d Cir.) / Cote (S.D.N.Y.)
1	105	David Souter	Brook Hopkins (shared with Breyer)	2010	2011	Harvard (2007)	Reinhardt (9th Cir.)
1	105	David Souter	Matthew Tokson (shared with Ginsburg)	2011	2012	Chicago (2008)	Randolph (D.C. Cir.)
1	105	David Souter	Anthony Vitarelli (shared with Breyer)	2012	2013	Yale (2009)	Griffith (D.C. Cir.)
1	105	David Souter	Ryan Park (shared with Ginsburg)	2013	2014	Harvard (2010)	Katzmann (2d Cir.) / Rakoff (S.D.N.Y.)
1	105	David Souter	Arpit Garg	2014		Yale (2012)	Reinhardt (9th Cir.) / Cote (S.D.N.Y.)
1	111	Sonia Sotomayor	Jeremy C. Marwell	2009	2010	NYU (2006)	S. Williams (D.C. Cir.)
1	111	Sonia Sotomayor	Eloise Pasachoff	2009	2010	Harvard (2004)	Katzmann (2d Cir.) / Rakoff (S.D.N.Y.)
1	111	Sonia Sotomayor	Lindsey Powell	2009	2010	Stanford (2007)	Stevens / Garland (D.C. Cir.)
1	111	Sonia Sotomayor	Robert M. Yablon	2009	2010	Yale (2006)	R. B. Ginsburg / W. Fletcher (9th Cir.)
1	111	Sonia Sotomayor	Kevin P. Arlyck	2010	2011	NYU (2008)	Katzmann (2d Cir.)
1	111	Sonia Sotomayor	Thomas S. Lue	2010	2011	Harvard (2005)	Raggi (2d Cir.) / G. Lynch (S.D.N.Y.)
1	111	Sonia Sotomayor	Abby M. Mollen	2010	2011	Northwestern (2008)	Tatel (D.C. Cir.)
1	111	Sonia Sotomayor	Amy Mason Saharia	2010	2011	Duke (2005)	Newman (2d Cir.) / Chatigny (D. Conn.)
1	111	Sonia Sotomayor	Michael Bern	2011	2012	Harvard (2008)	McConnell (10th Cir.)
1	111	Sonia Sotomayor	Mark Hiller	2011	2012	Virginia (2009)	Sack (2d Cir.)
1	111	Sonia Sotomayor	Daniel Habib	2011	2012	Yale (2010)	W. Fletcher (9th Cir.)
1	111	Sonia Sotomayor	Jane Kucera	2011	2012	Harvard (2008)	Gorsuch (10th Cir.)
1	111	Sonia Sotomayor	Brian Burgess	2012	2013	NYU (2009)	Tatel (D.C. Cir.) / Calabresi (2d Cir.)
1	111	Sonia Sotomayor	Brian Goldman	2012	2013	Stanford (2010)	Reinhardt (9th Cir.)
1	111	Sonia Sotomayor	Scott Grinsell	2012	2013	Yale (2009)	Pooler (2d Cir.)
1	111	Sonia Sotomayor	Charlotte Taylor	2012	2013	NYU (2007)	Katzmann (2d Cir.) / Rakoff (S.D.N.Y.)
1	111	Sonia Sotomayor	Fred Smith	2013	2014	Stanford (2007)	B. Parker (2d Cir.) / M. Thompson (M.D. Al.)
1	111	Sonia Sotomayor	Sparkle L. Sooknanan	2013	2014	Brooklyn (2010)	Calabresi (2d Cir.) / Vitaliano (E.D.N.Y.)
1	111	Sonia Sotomayor	Aaron Tang	2013	2014	Stanford (2011)	Wilkinson (4th Cir.)
1	111	Sonia Sotomayor	Daniel Winik	2013	2014	Yale (2011)	Reinhardt (9th Cir.)
1	111	Sonia Sotomayor	Luke McCloud	2014		Harvard (2011)	Kavanaugh (D.C. Cir.) / Niemeyer (4th Cir.)
1	111	Sonia Sotomayor	Michael Pollack	2014		NYU (2011)	J.R. Brown (D.C. Cir.)
1	111	Sonia Sotomayor	James Sigel	2014		Harvard (2011)	Tatel (D.C. Cir.) / Liu (Cal.) / Reinhardt (9th Cir.)
1	111	Sonia Sotomayor	Jennifer Sokoler	2014		Columbia (2010)	Katzmann (2d Cir.) / Cote (S.D.N.Y.)
2	47	Horace Gray	Thomas A. Russell	1882	1883	Harvard	
2	47	Horace Gray	William Schofield	1883	1885	Harvard	none
2	47	Horace Gray	Henry Eldridge Warner	1885	1886	Harvard	
2	47	Horace Gray	William H. Dunbar	1886	1887	Harvard	
2	47	Horace Gray	Edward Twisleton Cabot	1887	1888	Harvard	
2	47	Horace Gray	Samuel Williston	1888	1889	Harvard (1888)	none
2	47	Horace Gray	Blewett Lee	1889	1890	Harvard	
2	47	Horace Gray	Francis Richard Jones	1890	1891	Harvard	
2	47	Horace Gray	Ezra R. Thayer	1891	1892	Harvard	
2	47	Horace Gray	Moses Day Kimball	1892	1893	Harvard	
2	47	Horace Gray	James M. Newell	1892	1893	Harvard	
2	47	Horace Gray	Gordon T. Hughes	1894	1895	Harvard	
2	47	Horace Gray	Jeremiah Smith	1895	1896	Harvard	
2	47	Horace Gray	Charles L. Barlow	1896	1897	Harvard	
2	47	Horace Gray	Robert Romans	1897	1898	Harvard	
2	47	Horace Gray	Roland Gray	1898	1899	Harvard	
2	47	Horace Gray	John Gorham Palfrey	1899	1900	Harvard	
2	47	Horace Gray	Joseph Warren	1900	1901	Harvard	
2	47	Horace Gray	Langdon Parker Marvin	1901	1902	Harvard	
2	58	Oliver Wendell Holmes, Jr.	Charles K. Poe	1903	1906		
2	58	Oliver Wendell Holmes, Jr.	Augustin Derby	1906	1907	Harvard (1906)	none
2	58	Oliver Wendell Holmes, Jr.	Howard Stockton	1907	1908		
2	58	Oliver Wendell Holmes, Jr.	Erland F. Fish	1908	1909		
2	58	Oliver Wendell Holmes, Jr.	Leland B. Duer	1909	1910		
2	58	Oliver Wendell Holmes, Jr.	Irving S. Olds	1910	1911	Harvard (1910)	none
2	58	Oliver Wendell Holmes, Jr.	Francis B. Biddle	1911	1912	Harvard (1911)	none
2	58	Oliver Wendell Holmes, Jr.	Stanley Clarke	1912	1913		
2	58	Oliver Wendell Holmes, Jr.	George L. Harrison	1913	1914	Harvard	
2	58	Oliver Wendell Holmes, Jr.	Harvey Hollister Bundy	1914	1915	Harvard (1914)	
2	58	Oliver Wendell Holmes, Jr.	Chauncey Belknap	1915	1916		
2	58	Oliver Wendell Holmes, Jr.	Shelton Hale	1916	1917		
2	58	Oliver Wendell Holmes, Jr.	Vaughn Miller	1917	1918		
2	58	Oliver Wendell Holmes, Jr.	Lloyd H. Landau	1918	1919		
2	58	Oliver Wendell Holmes, Jr.	Stanley Morrison	1919	1920	Harvard (1917)	
2	58	Oliver Wendell Holmes, Jr.	Day Kimball	1920	1921		
2	58	Oliver Wendell Holmes, Jr.	Laurence Curtis	1921	1922	Harvard (1921)	none
2	58	Oliver Wendell Holmes, Jr.	Robert M. Benjamin	1922	1923		
2	58	Oliver Wendell Holmes, Jr.	James M. Nicely	1923	1924	Harvard	
2	58	Oliver Wendell Holmes, Jr.	W. Barton Leach	1924	1925	Harvard (1924)	none
2	58	Oliver Wendell Holmes, Jr.	Charles Denby, Jr.	1925	1926	Harvard	
2	58	Oliver Wendell Holmes, Jr.	Thomas Gardiner Corcoran	1926	1927	Harvard (1926)	
2	58	Oliver Wendell Holmes, Jr.	Arthur E. Sutherland	1927	1928	Harvard (1925)	
2	58	Oliver Wendell Holmes, Jr.	John E. Lockwood	1928	1929		
2	58	Oliver Wendell Holmes, Jr.	Alger Hiss	1929	1930	Harvard (1929)	none
2	58	Oliver Wendell Holmes, Jr.	Robert W. Wales	1930	1931	Harvard	
2	58	Oliver Wendell Holmes, Jr.	H. Chapman Rose	1931	1932	Harvard	
2	58	Oliver Wendell Holmes, Jr.	Donald Hiss	1932	1933	Harvard	
2	58	Oliver Wendell Holmes, Jr.	Mark DeWolfe Howe	1933	1934	Harvard	
2	58	Oliver Wendell Holmes, Jr.	James H. Rowe	1934	1935	Harvard	
2	75	Benjamin N. Cardozo	Joseph Paley	1932	1932		
