Law clerks have assisted the Supreme Court Justices in various capacities, since the first one was hired by Justice Horace Gray in 1882.[1]:1 By the traditions and rules that have developed around this procedure today the eight Associate Justices on the Supreme Court of the United States have the opportunity to select four law clerks each term of the court. The Chief Justice is allowed five clerks, but often hires fewer.[1]:195 After retiring from the Court, a justice may continue to hire a law clerk, who may be assigned to provide additional assistance to an active justice, or assist the retired justice when sitting by designation with a lower court.

Contents  [hide] 
1 List of Supreme Court law clerks
2 Notes
3 See also
4 References
5 Additional sources
6 External links
List of Supreme Court law clerks[edit]
The following sortable table[a] lists more than 1,900 law clerks who have served for Supreme Court justices, the years their service began and ended, the law school they attended (with the year they graduated), and any previous clerkships they held.

Seat = Supreme Court Justice Seat[b]
Num = Order that Supreme Court Justice was appointed


Seat	Num	Justice	Law clerk	Started	Finished	Law school (year)	Previous clerkship
CJ	88	Earl Warren	Phillip E. Johnson	1966	1967	Chicago (1965)	Traynor (Cal.)
CJ	88	Earl Warren	C. Douglas Kranwinkle	1966	1967	Michigan (1965)	
CJ	88	Earl Warren	Benno C. Schmidt, Jr.	1966	1967	Yale (1966)	
CJ	88	Earl Warren	Tyrone Brown	1967	1968	Cornell (1967)	none
CJ	88	Earl Warren	J. Larry Nichols	1967	1968	Michigan (1967)	
CJ	88	Earl Warren	Larry Simon	1967	1968	Yale	Weinfeld (S.D.N.Y.)
CJ	88	Earl Warren	Scott Bice	1968	1969	USC (1968)	none
CJ	88	Earl Warren	Earl C. Dudley, Jr.	1968	1969	Virginia (1967)	none
CJ	88	Earl Warren	C. Boyden Gray	1968	1969	North Carolina (1968)	none
CJ	88	Earl Warren	Paul J. Meyer	1968	1969	Notre Dame	
CJ	88	Earl Warren	John W. Keker	1970	1971	Yale (1970)	none
CJ	97	Warren E. Burger	Robert Fabrikant	1969	1970	Georgetown (1968)	Burger (D.C. Cir)
CJ	97	Warren E. Burger	Charles F. Lettow	1969	1970	Stanford (1968)	Duniway (9th Cir.)
CJ	97	Warren E. Burger	Harry A. Rissetto	1969	1970	Georgetown (1968)	Sirica (D.D.C.)
CJ	97	Warren E. Burger	Michael D. Zimmerman	1969	1970	Utah (1969)	
CJ	97	Warren E. Burger	James R. Atwood	1970	1971	Stanford (1969)	Hufstedler (9th Cir.)
CJ	97	Warren E. Burger	David O. Bickart	1970	1971	NYU (1969)	Wyatt (S.D.N.Y.)
CJ	97	Warren E. Burger	Theodore L. Garrett	1970	1971	Columbia (1968)	J. J. Smith (2d Cir.)
CJ	97	Warren E. Burger	William B. Elmore, Jr.	1971	1972		
CJ	97	Warren E. Burger	C. Douglas Floyd	1971	1972	Stanford (1967)	
CJ	97	Warren E. Burger	John H. Korns	1971	1972	Harvard (1970)	Wisdom (5th Cir.)
CJ	97	Warren E. Burger	Richard W. Skillman	1971	1972	NYU (1970)	J. J. Gibbons (3d Cir.)
CJ	97	Warren E. Burger	G. Edward White	1971	1972	Harvard (1970)	
CJ	97	Warren E. Burger	Lee C. Bollinger	1972	1973	Columbia (1971)	Feinberg (2d Cir.)
CJ	97	Warren E. Burger	Daniel R. Coquillette	1972	1973	Harvard (1971)	Braucher (Mass.)
CJ	97	Warren E. Burger	Richard D. Diamond	1972	1973	Yale (1971)	Weigel (N.D. Cal.)
CJ	97	Warren E. Burger	Jack M. Weiss	1972	1973	Harvard (1971)	Wisdom (5th Cir.)
CJ	97	Warren E. Burger	Arthur F. Fergenson	1973	1974	Yale (1972)	Griesa (S.D.N.Y.)
CJ	97	Warren E. Burger	Kenneth F. Ripple	1973	1974	Virginia (1968)	none
CJ	97	Warren E. Burger	Joseph C. Zengerle	1973	1974	Michigan (1971)	McGowan (D.C. Cir)
CJ	97	Warren E. Burger	Stephen B. Burbank	1974	1975	Harvard (1973)	Braucher (Mass.)
CJ	97	Warren E. Burger	Timothy D. Kelly[2]	1974	1975	Minnesota	Neville (D. Minn.)[3]
CJ	97	Warren E. Burger	Kenneth F. Ripple	1974	1975	Virginia (1968)	Burger
CJ	97	Warren E. Burger	Stephen Walters	1974	1975	Stanford (1972)	Duniway (9th Cir.)
CJ	97	Warren E. Burger	Candace S. Kovacic	1975	1976	Northeastern (1974)	Oakes (2d Cir.)
CJ	97	Warren E. Burger	Kenneth W. Starr	1975	1976	Duke (1973)	Burger / Dyer (5th Cir.)
CJ	97	Warren E. Burger	W. Wayne Drinkwater, Jr.	1976	1977	Mississippi (1974)	Keady (N.D. Miss.)
CJ	97	Warren E. Burger	Alex Kozinski	1976	1977	UCLA (1975)	Kennedy (9th Cir.)
CJ	97	Warren E. Burger	Paul J. Ondrasik, Jr.	1976	1977	Virginia (1975)	Seitz (3d Cir.)
CJ	97	Warren E. Burger	Henry L. Parr, Jr.	1977	1978	Virginia (1976)	Haynsworth (4th Cir.)
CJ	97	Warren E. Burger	Monte N. Stewart	1977	1978	BYU (1976)	J. C. Wallace (9th Cir.)
CJ	97	Warren E. Burger	Stewart Jay	1977	1978	Harvard (1976)	
CJ	97	Warren E. Burger	Robinson B. Lacy	1978	1979	Harvard (1977)	M. Pollack (S.D.N.Y.)
CJ	97	Warren E. Burger	Carter G. Phillips	1978	1979	Northwestern (1977)	Sprecher (7th Cir.)
CJ	97	Warren E. Burger	Walter "Jack" F. Pratt	1978	1979	Yale (1977)	C. Clark (5th Cir.)
CJ	97	Warren E. Burger	W. Neil Eggleston	1979	1980	Northwestern (1978)	Hunter (3d Cir.)
CJ	97	Warren E. Burger	Paul L. Shechtman	1979	1980	Harvard (1979)	L. Pollak (E.D. Pa.)
CJ	97	Warren E. Burger	Michael J. Wahoske	1979	1980	Notre Dame (1979)	
CJ	97	Warren E. Burger	John C. Ale	1980	1981	Virginia (1979)	Tamm (D.C. Cir)
CJ	97	Warren E. Burger	John M. Coleman	1980	1981	Chicago (1979)	
CJ	97	Warren E. Burger	John E. Sexton	1980	1981	Harvard (1979)	Bazelon (D.C. Cir) / Leventhal (D.C. Cir)
CJ	97	Warren E. Burger	James L. Volling	1980	1981	GW (1979)	R. Robb (D.C. Cir)
CJ	97	Warren E. Burger	James D. Holzhauer	1981	1982	Michigan (1980)	Ainsworth (5th Cir.)
CJ	97	Warren E. Burger	Judith A. McMorrow	1981	1982	Notre Dame (1980)	Merritt (6th Cir.)
